Airbase_ID,Strategic_Resource,Resource_Class,Initial_Stock,Target_Stock,Reorder_Stock,Critical_Stock,Supply_Parent,Mapping_Status,Source,Notes
JALALABAD,AMMUNITION_30MM_M230,CONSUMABLE_STRATEGIC,7920,7920,6480,2880,BAGRAM,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
JALALABAD,AMMUNITION_50CAL_M3P,CONSUMABLE_STRATEGIC,44640,44640,36000,14400,BAGRAM,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
JALALABAD,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,54,54,44,20,BAGRAM,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
JALALABAD,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,1575,1575,1287,567,BAGRAM,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_HELI,AMMUNITION_30MM_M230,CONSUMABLE_STRATEGIC,12960,12960,10080,3600,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_HELI,AMMUNITION_50CAL_M3P,CONSUMABLE_STRATEGIC,49920,49920,38400,14400,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_HELI,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,88,88,68,24,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_HELI,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,2113,2113,1652,653,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_30MM_GAU8,CONSUMABLE_STRATEGIC,37375,37375,33350,22425,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_AGM65D,CONSUMABLE_STRATEGIC,26,26,24,20,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_GBU12,CONSUMABLE_STRATEGIC,12,12,12,6,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_GBU38,CONSUMABLE_STRATEGIC,156,156,132,78,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,56,56,46,20,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_LUU2B,CONSUMABLE_STRATEGIC,232,232,208,156,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,212,212,192,136,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
KANDAHAR_MAIN,EQUIPMENT_AAQ28,RETURNABLE_STRATEGIC_EQUIPMENT,20,20,16,12,OFF_MAP,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,"Returnable strategic equipment; Initial=Target with 20% reserve, Reorder 80%, Critical 60%; normal logistics resupply."
SALERNO,AMMUNITION_30MM_M230,CONSUMABLE_STRATEGIC,6480,6480,5040,2880,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SALERNO,AMMUNITION_50CAL_M3P,CONSUMABLE_STRATEGIC,12000,12000,9120,4800,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SALERNO,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,44,44,34,20,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SALERNO,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,865,865,692,433,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SHINDAND_HELI,AMMUNITION_30MM_M230,CONSUMABLE_STRATEGIC,6480,6480,5040,2880,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SHINDAND_HELI,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,44,44,34,20,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
SHINDAND_HELI,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,653,653,538,365,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
TARINKOT,AMMUNITION_30MM_M230,CONSUMABLE_STRATEGIC,11340,11340,8820,5040,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
TARINKOT,AMMUNITION_HELLFIRE,CONSUMABLE_STRATEGIC,76,76,60,34,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
TARINKOT,AMMUNITION_ROCKETS_70MM,CONSUMABLE_STRATEGIC,1143,1143,941,639,KANDAHAR_MAIN,RUNTIME_MAPPING_MIXED_SEE_WEAPON_STOCK,NODE_STORE_SUMMARY,Node-pooled stock. Raw demand aggregated before one final node-level pair/pack rounding.
BAGRAM,FLARES_CHAFF,CONSUMABLE_STRATEGIC,16369,16369,14427,9576,OFF_MAP,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
JALALABAD,FLARES_CHAFF,CONSUMABLE_STRATEGIC,6173,6173,5724,4608,BAGRAM,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
KANDAHAR_HELI,FLARES_CHAFF,CONSUMABLE_STRATEGIC,13597,13597,12096,8352,KANDAHAR_MAIN,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
KANDAHAR_MAIN,FLARES_CHAFF,CONSUMABLE_STRATEGIC,17134,17134,14994,9648,OFF_MAP,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
SALERNO,FLARES_CHAFF,CONSUMABLE_STRATEGIC,4428,4428,4100,3600,KANDAHAR_MAIN,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
SHINDAND_HELI,FLARES_CHAFF,CONSUMABLE_STRATEGIC,3168,3168,2941,2592,KANDAHAR_MAIN,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
TARINKOT,FLARES_CHAFF,CONSUMABLE_STRATEGIC,3114,3114,2880,2520,KANDAHAR_MAIN,PLANNING_MAPPING_SEPARATE_COUNTERMEASURES,COUNTERMEASURES,Aggregated chaff/flare strategic planning stock from dedicated countermeasure matrix.
